"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","11","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","3. Граничные случаи","","allFieldsPersistCorrectly",""
"passed","","","22","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","2. Корректность данных","","request_isSent",""
"passed","","","153","","org.petclinic.tests.OwnerApiTest","","org.petclinic.tests.OwnerApiTest","","createOwner_validData_returns201AndAllFields",""
"passed","","","3","","org.springframework.samples.petclinic.vets.model.VetModelTest","","2. Специализации ветеринара","","addOneSpecialty_countIncreases",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","4. Список питомцев — различные сценарии","","fivePets",""
"passed","","","1","","org.springframework.samples.petclinic.api.dto.DtoTest","","1. OwnerDetails — контракт данных владельца","","variousCities(String)[2]",""
"passed","","","20","","org.springframework.samples.petclinic.vets.web.ExtendedVetResourceTest","","3. Структура ответа","","variousNames_serializedCorrectly(String)[3]",""
"passed","","","27","","org.springframework.samples.petclinic.vets.web.ExtendedVetResourceTest","","2. Специализации ветеринаров","","threeSpecialties_allPresentInResponse",""
"failed","Mon Jun 15 21:15:30 UTC 2026","Mon Jun 15 21:15:30 UTC 2026","829","","FullScenarioTest — жизненный цикл","","org.petclinic.tests.FullScenarioTest","fullOwnerPetLifecycle","fullOwnerPetLifecycle()","Шаг 1: Создать владельца
Шаг 2: Проверить что владелец создан (GET by ID)
Шаг 3: Добавить питомца владельцу
Шаг 4: Получить владельца и убедиться, что питомец присутствует
Шаг 5: Обновить данные владельца (PUT)
Шаг 6: Проверить что данные обновились
Шаг 7: Запросить несуществующего владельца → 404
"
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","3. Модель Owner — базовые свойства","","ownerAddressSetAndGet",""
"passed","","","15","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","1. Контракт формата ответа","","emptyVisitsList",""
"passed","","","26","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","2. Несколько записей","","threeOwners_savedIndependently",""
